Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form Of Contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,NDA/Pre Qualification,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Published Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address
HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,HITES/PCD/AIIMS-IV/65/Mix/ 22-23,2023_HLL_150702_2,Yes,Global Tenders,Supply,Goods,2,No,No,Offline,No,No,No,"1,770",HLL Infra Tech Services Ltd.,New Delhi,Yes,"2,00,000",Yes,fixed,NA,HLL Infra Tech Services Limited,New Delhi,"Supply,Installation of Fully Automated Coagulometer","Supply, Installation and Commissioning of Fully Automated Coagulometer",As per TED,NA,NA,Medical Equipments/Waste,NA,Tender,730,90,HITES-NOIDA,201307,Through Video conferencing,As per TED,04-Oct-2023 11:00 AM,HITES-NOIDA,No,No,31-Mar-2023 04:00 PM,12-Oct-2023 02:30 PM,31-Mar-2023 04:00 PM,11-Oct-2023 01:00 PM,NA,NA,06-May-2023 09:00 AM,11-Oct-2023 01:00 PM,CEO HITES,"HLL Infra Tech Services Limited, 
Procurement and Consultancy Division, 
B-14 A, Sector-62, Noida-201307, Uttar Pradesh"
HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,HITES/PCD/AIIMS-IV/65/Mix/ 22-23,2023_HLL_150702_4,Yes,Global Tenders,Supply,Goods,2,No,No,Offline,No,No,No,"1,770",HLL Infra Tech Services Ltd.,New Delhi,Yes,"80,000",Yes,fixed,NA,HLL Infra Tech Services Limited,New Delhi,"Supply,Installation of Gradient PCR Machine","Supply, Installation and Commissioning of Gradient PCR Machine",As per TED,NA,NA,Medical Equipments/Waste,NA,Tender,730,90,HITES-NOIDA,201307,Through Video conferencing,As per TED,04-Oct-2023 11:00 AM,HITES-NOIDA,No,No,31-Mar-2023 04:00 PM,12-Oct-2023 02:30 PM,31-Mar-2023 04:00 PM,11-Oct-2023 01:00 PM,NA,NA,06-May-2023 09:00 AM,11-Oct-2023 01:00 PM,CEO HITES,"HLL Infra Tech Services Limited, 
Procurement and Consultancy Division, 
B-14 A, Sector-62, Noida-201307, Uttar Pradesh"
HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,HITES/PCD/AIIMS-IV/65/Mix/ 22-23,2023_HLL_150702_10,Yes,Global Tenders,Supply,Goods,2,No,No,Offline,No,No,No,590,HLL Infra Tech Services Ltd.,New Delhi,Yes,"20,000",Yes,fixed,NA,HLL Infra Tech Services Limited,New Delhi,"Supply,Installation of Pacemaker Single Chamber - External","Supply, Installation and Commissioning of Pacemaker Single Chamber - External",As per TED,NA,NA,Medical Equipments/Waste,NA,Tender,730,90,HITES-NOIDA,201307,Through Video conferencing,As per TED,04-Oct-2023 11:00 AM,HITES-NOIDA,No,No,31-Mar-2023 04:00 PM,12-Oct-2023 02:30 PM,31-Mar-2023 04:00 PM,11-Oct-2023 01:00 PM,NA,NA,06-May-2023 09:00 AM,11-Oct-2023 01:00 PM,CEO HITES,"HLL Infra Tech Services Limited, 
Procurement and Consultancy Division, 
B-14 A, Sector-62, Noida-201307, Uttar Pradesh"
HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,HITES/PCD/MCH-AIIMS/24/22-23,2023_HLL_150644_4,Yes,Global Tenders,Supply,Goods,2,No,No,Offline,No,No,No,"1,770",HLL Infra Tech Services Ltd.,New Delhi,Yes,"1,02,000",No,fixed,NA,HLL Infra Tech Services Ltd.,New Delhi,"Supply, Installation and Commissioning of Advanced Paediatric advanced laparoscopy Instrument Set for MCH-AIIMS, New Delhi","Supply, Installation and Commissioning of Advanced Paediatric advanced laparoscopy Instrument Set for MCH-AIIMS, New Delhi",Please refer Tender documents.,NA,NA,Equipments (Hospital / Lab),NA,Tender,270,90,"Mother and Child Hospital Block, AIIMS, New Delhi",110029,"AIIMS, New Delhi","MS Seminar Room, Ground Floor, Main Hospital Store, AIIMS, New Delhi - 110029",13-Apr-2023 02:30 PM,"HITES, Noida",No,No,31-Mar-2023 04:00 PM,27-Sep-2023 02:30 PM,31-Mar-2023 05:00 PM,26-Sep-2023 02:00 PM,NA,NA,14-Apr-2023 09:00 AM,26-Sep-2023 02:00 PM,"CEO, HITES","HLL Infra Tech Services Limited
Procurement and Consultancy Services Division, B-14 A, Sector-62,
Noida-201307, Uttar Pradesh"
HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,HITES/PCD/MCH-AIIMS/24/22-23,2023_HLL_150644_3,Yes,Global Tenders,Supply,Goods,2,No,No,Offline,No,No,No,590,HLL Infra Tech Services Ltd.,New Delhi,Yes,"32,000",No,fixed,NA,HLL Infra Tech Services Ltd.,New Delhi,"Supply, Installation and Commissioning of Flexible Uretero-Reno Scope for MCH-AIIMS, New Delhi","Supply, Installation and Commissioning of Flexible Uretero-Reno Scope for MCH-AIIMS, New Delhi",Please refer Tender documents.,NA,NA,Equipments (Hospital / Lab),NA,Tender,270,90,"Mother and Child Hospital Block, AIIMS, New Delhi",110029,"AIIMS, New Delhi","MS Seminar Room, Ground Floor, Main Hospital Store, AIIMS, New Delhi - 110029",13-Apr-2023 02:30 PM,"HITES, Noida",No,No,31-Mar-2023 04:00 PM,27-Sep-2023 02:30 PM,31-Mar-2023 05:00 PM,26-Sep-2023 02:00 PM,NA,NA,14-Apr-2023 09:00 AM,26-Sep-2023 02:00 PM,"CEO, HITES","HLL Infra Tech Services Limited
Procurement and Consultancy Services Division, B-14 A, Sector-62,
Noida-201307, Uttar Pradesh"
HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,HITES/PCD/AIIMS-IV/65/Mix/ 22-23,2023_HLL_150702_5,Yes,Global Tenders,Supply,Goods,2,No,No,Offline,No,No,No,"1,770",HLL Infra Tech Services Ltd.,New Delhi,Yes,"1,20,000",Yes,fixed,NA,HLL Infra Tech Services Limited,New Delhi,"Supply,Installation of HPLC system","Supply, Installation and Commissioning of HPLC system",As per TED,NA,NA,Medical Equipments/Waste,NA,Tender,730,90,HITES-NOIDA,201307,Through Video conferencing,As per TED,04-Oct-2023 11:00 AM,HITES-NOIDA,No,No,31-Mar-2023 04:00 PM,12-Oct-2023 02:30 PM,31-Mar-2023 04:00 PM,11-Oct-2023 01:00 PM,NA,NA,06-May-2023 09:00 AM,11-Oct-2023 01:00 PM,CEO HITES,"HLL Infra Tech Services Limited, 
Procurement and Consultancy Division, 
B-14 A, Sector-62, Noida-201307, Uttar Pradesh"
HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,HITES/PCD/AIIMS-IV/65/Mix/ 22-23,2023_HLL_150702_6,Yes,Global Tenders,Supply,Goods,2,No,No,Offline,No,No,No,590,HLL Infra Tech Services Ltd.,New Delhi,Yes,"8,000",Yes,fixed,NA,HLL Infra Tech Services Limited,New Delhi,"Supply,Installation of ICP Monitor","Supply, Installation and Commissioning of ICP Monitor",As per TED,NA,NA,Medical Equipments/Waste,NA,Tender,730,90,HITES-NOIDA,201307,Through Video conferencing,As per TED,04-Oct-2023 11:00 AM,HITES-NOIDA,No,No,31-Mar-2023 04:00 PM,12-Oct-2023 02:30 PM,31-Mar-2023 04:00 PM,11-Oct-2023 01:00 PM,NA,NA,06-May-2023 09:00 AM,11-Oct-2023 01:00 PM,CEO HITES,"HLL Infra Tech Services Limited, 
Procurement and Consultancy Division, 
B-14 A, Sector-62, Noida-201307, Uttar Pradesh"
HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,HITES/PCD/AIIMS-IV/65/Mix/ 22-23,2023_HLL_150702_7,Yes,Global Tenders,Supply,Goods,2,No,No,Offline,No,No,No,"1,770",HLL Infra Tech Services Ltd.,New Delhi,Yes,"3,60,000",Yes,fixed,NA,HLL Infra Tech Services Limited,New Delhi,"Supply,Installation of HPLC system","Supply, Installation and Commissioning of Intra Operative Nerve Monitoring",As per TED,NA,NA,Medical Equipments/Waste,NA,Tender,730,90,HITES-NOIDA,201307,Through Video conferencing,As per TED,04-Oct-2023 11:00 AM,HITES-NOIDA,No,No,31-Mar-2023 04:00 PM,12-Oct-2023 02:30 PM,31-Mar-2023 04:00 PM,11-Oct-2023 01:00 PM,NA,NA,06-May-2023 09:00 AM,11-Oct-2023 01:00 PM,CEO HITES,"HLL Infra Tech Services Limited, 
Procurement and Consultancy Division, 
B-14 A, Sector-62, Noida-201307, Uttar Pradesh"
HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,HITES/PCD/AIIMS-IV/65/Mix/ 22-23,2023_HLL_150702_8,Yes,Global Tenders,Supply,Goods,2,No,No,Offline,No,No,No,"1,770",HLL Infra Tech Services Ltd.,New Delhi,Yes,"2,00,000",Yes,fixed,NA,HLL Infra Tech Services Limited,New Delhi,"Supply,Installation of Orthopantomogram (OPG) unit","Supply, Installation and Commissioning of Orthopantomogram (OPG) unit",As per TED,NA,NA,Medical Equipments/Waste,NA,Tender,730,90,HITES-NOIDA,201307,Through Video conferencing,As per TED,04-Oct-2023 11:00 AM,HITES-NOIDA,No,No,31-Mar-2023 04:00 PM,12-Oct-2023 02:30 PM,31-Mar-2023 04:00 PM,11-Oct-2023 01:00 PM,NA,NA,06-May-2023 09:00 AM,11-Oct-2023 01:00 PM,CEO HITES,"HLL Infra Tech Services Limited, 
Procurement and Consultancy Division, 
B-14 A, Sector-62, Noida-201307, Uttar Pradesh"
HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,HITES/PCD/AIIMS-IV/65/Mix/ 22-23,2023_HLL_150702_11,Yes,Global Tenders,Supply,Goods,2,No,No,Offline,No,No,No,590,HLL Infra Tech Services Ltd.,New Delhi,Yes,"24,000",Yes,fixed,NA,HLL Infra Tech Services Limited,New Delhi,"Supply,Installation of Patient Care Simulator","Supply, Installation and Commissioning of Patient Care Simulator",As per TED,NA,NA,Medical Equipments/Waste,NA,Tender,730,90,HITES-NOIDA,201307,Through Video conferencing,As per TED,04-Oct-2023 11:00 AM,HITES-NOIDA,No,No,31-Mar-2023 04:00 PM,12-Oct-2023 02:30 PM,31-Mar-2023 04:00 PM,11-Oct-2023 01:00 PM,NA,NA,06-May-2023 09:00 AM,11-Oct-2023 01:00 PM,CEO HITES,"HLL Infra Tech Services Limited, 
Procurement and Consultancy Division, 
B-14 A, Sector-62, Noida-201307, Uttar Pradesh"
HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,HITES/PCD/MCH-AIIMS/21/22-23,2023_HLL_150640_1,Yes,Global Tenders,Supply,Goods,2,No,No,Offline,No,No,No,590,HLL Infra Tech Services Ltd.,New Delhi,No,"24,000",Yes,fixed,NA,HLL Infra Tech Services Ltd.,New Delhi,"Supply, Installation and Commissioning of Microscope with Phase Contrast and Camera attachment for MCH-AIIMS, New Delhi.","Supply, Installation and Commissioning of Microscope with Phase Contrast and Camera attachment for MCH-AIIMS, New Delhi.",Please refer Tender documents.,NA,NA,Equipments (Hospital / Lab),NA,Tender,270,90,"Mother and Child Hospital Block, AIIMS, New Delhi",110029,"AIIMS, New Delhi","MS Seminar Room, Ground Floor, Main Hospital Store, AIIMS, New Delhi - 110029",12-Apr-2023 02:45 PM,"HITES, Noida",No,No,31-Mar-2023 04:00 PM,27-Sep-2023 02:30 PM,31-Mar-2023 05:00 PM,26-Sep-2023 02:00 PM,NA,NA,13-Apr-2023 09:00 AM,26-Sep-2023 02:00 PM,"CEO, HITES","HLL Infra Tech Services Limited
Procurement and Consultancy Services Division, B-14 A, Sector-62,
Noida-201307, Uttar Pradesh."
HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,HITES/PCD/AIIMS-IV/65/Mix/ 22-23,2023_HLL_150702_3,Yes,Global Tenders,Supply,Goods,2,No,No,Offline,No,No,No,"2,950",HLL Infra Tech Services Ltd.,New Delhi,Yes,"40,00,000",Yes,fixed,NA,HLL Infra Tech Services Limited,New Delhi,"Supply,Installation of Gamma Camera","Supply, Installation and Commissioning of Gamma Camera",As per TED,NA,NA,Medical Equipments/Waste,NA,Tender,730,90,HITES-NOIDA,201307,Through Video conferencing,As per TED,04-Oct-2023 11:00 AM,HITES-NOIDA,No,No,31-Mar-2023 04:00 PM,12-Oct-2023 02:30 PM,31-Mar-2023 04:00 PM,11-Oct-2023 01:00 PM,NA,NA,06-May-2023 09:00 AM,11-Oct-2023 01:00 PM,CEO HITES,"HLL Infra Tech Services Limited, 
Procurement and Consultancy Division, 
B-14 A, Sector-62, Noida-201307, Uttar Pradesh"
HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,HITES/PCD/AIIMS-IV/65/Mix/ 22-23,2023_HLL_150702_9,Yes,Global Tenders,Supply,Goods,2,No,No,Offline,No,No,No,590,HLL Infra Tech Services Ltd.,New Delhi,Yes,"12,000",Yes,fixed,NA,HLL Infra Tech Services Limited,New Delhi,"Supply,Installation of Osmometer","Supply, Installation and Commissioning of Osmometer",As per TED,NA,NA,Medical Equipments/Waste,NA,Tender,730,90,HITES-NOIDA,201307,Through Video conferencing,As per TED,04-Oct-2023 11:00 AM,HITES-NOIDA,No,No,31-Mar-2023 04:00 PM,12-Oct-2023 02:30 PM,31-Mar-2023 04:00 PM,11-Oct-2023 01:00 PM,NA,NA,06-May-2023 09:00 AM,11-Oct-2023 01:00 PM,CEO HITES,"HLL Infra Tech Services Limited, 
Procurement and Consultancy Division, 
B-14 A, Sector-62, Noida-201307, Uttar Pradesh"
HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,HITES/PCD/MCH-AIIMS/25/22-23,2023_HLL_150645_3,Yes,Global Tenders,Supply,Goods,2,No,No,Offline,No,No,No,590,HLL Infra Tech Services Ltd.,New Delhi,No,"16,000",Yes,fixed,NA,HLL Infra Tech Services Ltd.,New Delhi,"Supply, Installation and Commissioning of Phase Contrast Microscope with camera and Monitor IVF Grade for MCH-AIIMS, New Delhi","Supply, Installation and Commissioning of Phase Contrast Microscope with camera and Monitor IVF Grade for MCH-AIIMS, New Delhi",Please refer Tender documents.,NA,NA,Equipments (Hospital / Lab),NA,Tender,270,90,"Mother and Child Hospital Block, AIIMS, New Delhi",110029,"AIIMS, New Delhi","MS Seminar Room, Ground Floor, Main Hospital Store, AIIMS, New Delhi - 110029",13-Apr-2023 03:00 PM,"HITES, Noida",No,No,31-Mar-2023 04:00 PM,27-Sep-2023 02:30 PM,31-Mar-2023 05:00 PM,26-Sep-2023 02:00 PM,NA,NA,14-Apr-2023 09:00 AM,26-Sep-2023 02:00 PM,"CEO, HITES","HLL Infra Tech Services Limited
Procurement and Consultancy Services Division, B-14 A, Sector-62,
Noida-201307, Uttar Pradesh"
HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,HITES/PCD/AIIMS-IV/65/Mix/ 22-23,2023_HLL_150702_1,Yes,Global Tenders,Supply,Goods,2,No,No,Offline,No,No,No,590,HLL Infra Tech Services Ltd.,New Delhi,Yes,"12,000",Yes,fixed,NA,HLL Infra Tech Services Limited,New Delhi,"Supply,Installation of Full body pregnancy simulator","Supply, Installation and Commissioning of Full body pregnancy simulator",As per TED,NA,NA,Medical Equipments/Waste,NA,Tender,730,90,HITES-NOIDA,201307,Through Video conferencing,As per TED,04-Oct-2023 11:00 AM,HITES-NOIDA,No,No,31-Mar-2023 02:40 PM,12-Oct-2023 02:30 PM,31-Mar-2023 02:40 PM,11-Oct-2023 01:00 PM,NA,NA,06-May-2023 09:00 AM,11-Oct-2023 01:00 PM,CEO HITES,"HLL Infra Tech Services Limited, 
Procurement and Consultancy Division, 
B-14 A, Sector-62, Noida-201307, Uttar Pradesh"
HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,HITES/PCD/NCI-AIIMS/54/22-23,2023_HLL_150524_1,Yes,Open Tender,Supply,Goods,2,No,No,Offline,No,No,No,"2,950",HLL Infra Tech Services Ltd.,New Delhi,Yes,"48,41,800",Yes,fixed,NA,HLL Infra Tech Services Ltd.,New Delhi,"Establishment of Core Pathology Lab at NCI-AIIMS, Jhajjar","Establishment of Core Pathology Lab at NCI-AIIMS, Jhajjar",Please refer Tender documents.,NA,NA,Equipments (Hospital / Lab),NA,Tender,270,90,"NCI-AIIMS, Jhajjar, Haryana",124507,"Dr. BRAIRCH, AIIMS, New Delhi","Committee Room
(No.-149), 1st Floor, Dr. BRAIRCH Building, AIIMS,
New Delhi-29",10-Apr-2023 03:30 PM,"HITES, Noida",No,No,30-Mar-2023 09:00 AM,26-Sep-2023 02:30 PM,30-Mar-2023 09:05 AM,25-Sep-2023 02:00 PM,NA,NA,11-Apr-2023 09:00 AM,25-Sep-2023 02:00 PM,"CEO, HITES","HLL Infra Tech Services Limited
Procurement and Consultancy Services Division, B-14 A, Sector-62,
Noida-201307, Uttar Pradesh."
HLL Lifecare Limited||HLL INFRA TECH SERVICES LIMITED,HITES/PCD/MCH-AIIMS/19/22-23,2023_HLL_149654_1,Yes,Open Tender,Supply,Goods,2,No,No,Offline,No,No,No,"5,900",HLL Infra Tech Services Ltd.,New Delhi,No,"60,00,000",Yes,fixed,NA,HLL Infra Tech Services Ltd.,New Delhi,"Supply, Installation, etc. of 3-Tesla Magnetic Resonance Imaging MRI System","Supply, Installation, etc. of 3-Tesla Magnetic Resonance Imaging MRI System for MCH-AIIMS, New Delhi.",Please refer Tender documents.,NA,NA,Equipments (Hospital / Lab),NA,Tender,270,90,"Mother and Child Hospital Block, AIIMS, New Delhi",110029,"AIIMS, New Delhi","MS Seminar Room, Ground Floor, Main 
Hospital, AIIMS, New Delhi - 110029",28-Mar-2023 02:30 PM,"HITES, Noida",No,No,21-Mar-2023 01:30 PM,06-Oct-2023 02:30 PM,21-Mar-2023 02:00 PM,05-Oct-2023 02:00 PM,NA,NA,22-Mar-2023 09:00 AM,05-Oct-2023 02:00 PM,"CEO, HITES","HLL Infra Tech Services Limited
Procurement and Consultancy Services Division, B-14 A, Sector-62,
Noida-201307, Uttar Pradesh."
HPCL Biofuels Limited||Purchase (Patna),HBL/TEN/23-24/233,2023_HPCLB_167967_1,Yes,Limited,Works,Services,2,No,No,Not Applicable,No,No,No,0.00,Nil,Nil,No,0.00,No,fixed,NA,Nil,Nil,"DISMANTLING, FABRICATION, ERECTION AND COMMISSIONING OF 8 ATA STEAM PIPE LINE","DISMANTLING, FABRICATION, ERECTION AND
COMMISSIONING OF 8 ATA STEAM PIPE LINE ON LUMP SUM BASIS IN COGEN PLANT SUGAULI, EAST CHAMPARAN.",AS ATTACHED,NA,NA,Repair and Maintenance Services,"DISMANTLING, FABRICATION, ERECTION AND",Tender,90,28,"SUGAULI, EAST CHAMPARAN, BIHAR",845456,NA,NA,NA,PATNA,No,No,16-Sep-2023 05:00 PM,23-Sep-2023 03:00 PM,16-Sep-2023 05:00 PM,22-Sep-2023 03:00 PM,16-Sep-2023 05:00 PM,22-Sep-2023 03:00 PM,16-Sep-2023 05:00 PM,22-Sep-2023 03:00 PM,HEAD PROCUREMENT,"PATNA, BIHAR"
HPCL Biofuels Limited||Purchase (Patna),HBL/TEN/PUB/23-24/227,2023_HPCLB_167288_1,Yes,Open Tender,Supply,Goods,2,No,No,Offline,No,No,No,0.00,Nil,Nil,No,"1,00,000",Yes,fixed,NA,HPCL Biofuels Limited,PATNA,Supply of Cooling Tower Chemicals on door delivery Basis,Supply of Cooling Tower Chemicals on door delivery Basis.,AS PER ATTACHED TENDER DOCUMENTS,NA,NA,Miscellaneous Goods,CHEMICAL,Tender,120,15,SUGAULI AND LAURIYA,845453,NA,NA,NA,PATNA,No,No,11-Sep-2023 06:30 PM,26-Sep-2023 03:00 PM,11-Sep-2023 06:30 PM,25-Sep-2023 03:00 PM,11-Sep-2023 06:30 PM,25-Sep-2023 03:00 PM,11-Sep-2023 06:30 PM,25-Sep-2023 03:00 PM,HEAD PRCOREMENT,"PATNA, BIHAR"
HPCL Biofuels Limited||Purchase (Patna),HBL/TEN/PUB/23-24/224,2023_HPCLB_167218_1,Yes,Open Tender,Supply,Goods,2,No,No,Offline,No,No,No,0.00,Nil,Nil,No,"2,00,000",Yes,fixed,NA,HPCL Biofuels Limited,HPCL Biofuels Limited,Supply of Boiler Chemicals on door delivery Basis,Supply of Boiler Chemicals on door delivery Basis at HBL Sugauli and Lauriya Plant.,as per attached tender document.,NA,NA,Miscellaneous Goods,Chemical,Tender,120,15,SUGAULI AND LAURIYA,845453,NA,NA,NA,PATNA,No,No,11-Sep-2023 12:50 PM,23-Sep-2023 03:00 PM,11-Sep-2023 12:50 PM,22-Sep-2023 03:00 PM,11-Sep-2023 12:50 PM,22-Sep-2023 03:00 PM,11-Sep-2023 12:50 PM,22-Sep-2023 03:00 PM,HEAD PROCUREMENT,"PATNA, BIHAR"
HPCL Biofuels Limited||Purchase (Patna),HBL/TEN/PUB/23-24/213,2023_HPCLB_166578_1,Yes,Open Tender,Supply,Goods,2,No,No,Not Applicable,No,No,No,0.00,Nil,Nil,No,0.00,No,fixed,NA,Nil,Nil,"SUPPLY OF PAINTS, PRIMER AND THINNER","SUPPLY OF PAINTS, PRIMER AND THINNER AT HBL LAURIYA",AS PER ATTACHED TENDER DOCUMENT,NA,NA,Civil Construction Goods,PAINTS,Tender,120,15,LAURIYA,845453,NA,NA,NA,PATNA,No,No,04-Sep-2023 05:00 PM,19-Sep-2023 03:00 PM,04-Sep-2023 05:00 PM,18-Sep-2023 03:00 PM,04-Sep-2023 06:00 PM,17-Sep-2023 03:00 PM,04-Sep-2023 06:00 PM,18-Sep-2023 03:00 PM,HEAD-PROCUREMENT,HPCL BIOFUELS LTD PATNA
HPCL Biofuels Limited||Purchase (Patna),HBL/TEN/PUB/23-24/212,2023_HPCLB_166539_1,Yes,Open Tender,Supply,Goods,2,No,No,Not Applicable,No,No,No,0.00,Nil,Nil,No,0.00,No,fixed,NA,Nil,Nil,Supply of Kirloskar Make Pumps and Spares,Supply of Kirloskar Make Pumps and Spares on door delivery basis at HBL Lauriya,AS PER ATTACHED TENDER DOCUMENT,NA,NA,Mechanical Tools and Equipment,Pumps and Spares,Tender,120,42,LAURIYA,845453,NA,NA,NA,HPCL BIOFUELS LTD PATNA,No,No,04-Sep-2023 01:00 PM,19-Sep-2023 03:00 PM,04-Sep-2023 01:00 PM,18-Sep-2023 03:00 PM,04-Sep-2023 02:00 PM,17-Sep-2023 03:00 PM,04-Sep-2023 02:00 PM,18-Sep-2023 03:00 PM,HEAD-PROCUREMENT,HPCL BIOFUELS LTD PATNA
HPCL Biofuels Limited||Purchase (Patna),HBL/TEN/PUB/23-24/208,2023_HPCLB_166431_1,Yes,Open Tender,Works,Services,2,No,No,Not Applicable,No,No,No,0.00,Nil,Nil,No,0.00,No,fixed,NA,Nil,Nil,"TESTING, CALIBRATION AND CERTIFICATION OF FLOW METERS","TESTING, CALIBRATION AND CERTIFICATION OF FLOW METERS AT HBL PLANT SUGAULI, BIHAR",AS PER ATTACHED TENDER,NA,NA,Miscellaneous Services,CALIBRATION AND CERTIFICATION OF FLOW METER,Tender,120,15,"SUGAULI, EAST CHAMPARAN, BIHAR",845456,NA,NA,NA,PATNA,No,No,01-Sep-2023 06:00 PM,23-Sep-2023 03:00 PM,01-Sep-2023 06:00 PM,22-Sep-2023 03:00 PM,01-Sep-2023 06:00 PM,22-Sep-2023 03:00 PM,01-Sep-2023 06:00 PM,22-Sep-2023 03:00 PM,HEAD PROCUREMENT,"PATNA, BIHAR"
India Infrastructure Finance Company Limited,NPA/2023,2023_IIFCL_166743_1,Yes,Open Tender,Lump-sum,Services,1,No,No,Not Applicable,No,No,No,0.00,Nil,Nil,No,0.00,No,fixed,NA,Nil,Nil,IIFC/NPA/Swiss Challenge/2023,Swiss Challenge process for OTS proposal,Please refer tender documents,NA,NA,Miscellaneous Services,NA,Tender,14,7,New Delhi,110023,NA,NA,NA,New Delhi,No,No,13-Sep-2023 03:00 PM,22-Sep-2023 04:05 PM,13-Sep-2023 03:00 PM,21-Sep-2023 04:00 PM,13-Sep-2023 03:00 PM,20-Sep-2023 04:00 PM,13-Sep-2023 06:00 PM,21-Sep-2023 04:00 PM,Uday Singh,New Delhi
Indian Institute of Technology Madras||Project Purchase - IITM,AM/RAGH/020/2023/FIBEROPTIC,2023_IITM_167775_1,Yes,Open Tender,Supply,Goods,2,No,No,Not Applicable,No,No,No,0.00,Nil,Nil,No,0.00,No,fixed,NA,Nil,Nil,Fiber Optic Sensor Array System (FOSA),Fiber Optic Sensor Array System (FOSA),Please refer Tender documents.,NA,NA,Miscellaneous Goods,NA,Tender,120,21,Department of Applied Mechanics and Biomedical Eng,600036,NA,NA,NA,Department of Applied Mechanics and Biomedical Eng,No,No,15-Sep-2023 03:30 PM,06-Oct-2023 03:00 PM,15-Sep-2023 03:35 PM,05-Oct-2023 03:00 PM,NA,NA,16-Sep-2023 09:00 AM,05-Oct-2023 03:00 PM,The Senior Manager(Project Purchase),"The Senior manager,
Project Purchase,
ICSR,
IIT-Madras,
Chennai - 600036"
Indian Institute of Technology Madras||Project Purchase - IITM,SAIF/BHAT/018/2023/FTIRATR,2023_IITM_167681_1,Yes,Open Tender,Supply,Goods,2,No,No,Offline,No,No,No,0.00,Nil,Nil,No,"1,84,000",Yes,fixed,NA,Refer to the tender document,Refer to the tender document,FTIR with Far IR capability and ATR accessory,FTIR with Far IR capability and ATR accessory,Please refer Tender documents.,NA,NA,Miscellaneous Goods,NA,Tender,120,21,Sophisticated Analytical Instruments Facility,600036,NA,NA,NA,Sophisticated Analytical Instruments Facility,No,No,14-Sep-2023 03:50 PM,05-Oct-2023 03:00 PM,14-Sep-2023 03:55 PM,04-Oct-2023 03:00 PM,NA,NA,15-Sep-2023 09:00 AM,04-Oct-2023 03:00 PM,The Senior Manager (Project Purchase),"The Senior Manager,
Project Purchase,
ICSR,
IIT-Madras,
Chennai - 600036"
Indian Institute of Technology Madras||Project Purchase - IITM,PY/MSRO/017/2023/GASCHILLSY,2023_IITM_167412_1,Yes,Open Tender,Supply,Goods,2,No,No,Offline,No,No,No,0.00,Nil,Nil,No,"2,00,000",Yes,fixed,NA,Refer to the tender document,Refer to the tender document,Design and Installation of Gas Distribution System and Chilled Water Distribution System,Design and Installation of Gas Distribution System and Chilled Water Distribution System,Please refer Tender documents.,NA,NA,Miscellaneous Goods,NA,Tender,120,14,"D1, IITM Research Park",600113,Online,Online,20-Sep-2023 09:00 AM,Department of Physics,No,No,13-Sep-2023 12:00 PM,29-Sep-2023 03:00 PM,13-Sep-2023 12:05 PM,27-Sep-2023 03:00 PM,NA,NA,21-Sep-2023 09:00 AM,27-Sep-2023 03:00 PM,The Senior Manager (Project Purchase),"The Senior Manager (Project Purchase), ICSR, IIT-Madras, Chennai- 600036"
